Thu Feb  8 10:24:30 2024    my_apt_imp.pyprofile

         352755 function calls (352749 primitive calls) in 0.224 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/numeric.py:1855(isscalar)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:579(set_momenta)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/base.py:74(__len__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copy.py:243(_keep_alive)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/cProfile.py:51(create_stats)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3176(ndim)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:542(<genexpr>)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/analyse.py:42(__init__)
        9    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:538(<listcomp>)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:25(_maybe_view_as_subclass)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1472(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/frame.py:669(_sliced_from_mgr)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:4373(_set_is_copy)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
        1    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:37(_check)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:571(_get_axis_number)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1463(<genexpr>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/flags.py:51(__init__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexes/base.py:5433(_can_hold_identifiers_and_holds_name)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:660(set_initial_charges)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/managers.py:481(is_view)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/threading.py:1453(current_thread)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/_methods.py:43(_amin)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/threading.py:1152(name)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_base/project/generic.py:197(create)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:164(<lambda>)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/_config/__init__.py:42(warn_copy_on_write)
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x102e01600}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1419(_is_dtype_type)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/ma/core.py:6485(isMaskedArray)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/common.py:97(is_bool_indexer)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexing.py:305(loc)
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copy.py:201(_deepcopy_list)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:237(_releaseLock)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexing.py:1227(_validate_key)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:4579(_is_view)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1938(_get_atomic_numbers)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/blocks.py:266(mgr_locs)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/multiarray.py:153(concatenate)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        6    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copy.py:107(_copy_immutable)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2667(get_block_type)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/managers.py:1836(__init__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/multiprocessing/process.py:189(name)
        1    0.000    0.000    0.000    0.000 /Users/shyamkatnagallu/Projects/APTrajectories/RobinRollandModel/main.py:10(__init__)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1479(<genexpr>)
        3    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/common.py:152(cast_scalar_indexer)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/flags.py:87(allows_duplicate_labels)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        7    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2831(_min_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:815(filter)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2416(_all_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:695(ndim)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:958(__len__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3172(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2570(is_view)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:324(_get_constraints)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:628(set_initial_magnetic_moments)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/shape_base.py:1181(_tile_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_base/state/__init__.py:49(logger)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/multiarray.py:669(result_type)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexes/base.py:909(__len__)
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1720(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/_methods.py:39(_amax)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:404(flags)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1474(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/common.py:121(classes)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:433(pbc)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/function_base.py:19(_linspace_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:666(_info_axis)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/managers.py:247(items)
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2687(_max_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/project.py:770(structure)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/shape_base.py:19(_atleast_1d_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:362(attrs)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/series.py:909(__len__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/multiprocessing/process.py:37(current_process)
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexing.py:1166(_check_deprecated_callable_usage)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:1319(disable)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/function_base.py:5005(_meshgrid_dispatcher)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2974(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/common.py:123(<lambda>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/flags.py:55(allows_duplicate_labels)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1191(<listcomp>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atom.py:110(__getattr__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000 
