Thu Feb  8 10:24:30 2024    my_apt_imp.pyprofile

         352755 function calls (352749 primitive calls) in 0.224 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:340(_broadcast_to)
        1    0.000    0.000    0.224    0.224 /Users/shyamkatnagallu/Projects/APTrajectories/RobinRollandModel/datautils.py:166(create_tip_pyiron)
       12    0.000    0.000    0.002    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        8    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:450(new_array)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:905(copy)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/shape_base.py:292(hstack)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/frame.py:4050(__getitem__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:2063(__copy__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1193(<listcomp>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/managers.py:959(fast_xs)
        8    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/cell.py:61(new)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/shape_base.py:1185(tile)
        3    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:333(set_cell)
        9    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:292(__init__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/shape_base.py:219(vstack)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/function_base.py:5010(meshgrid)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:4153(xs)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/periodic_table.py:291(element)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/periodic_table.py:75(<listcomp>)
    50/44    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:480(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/cProfile.py:45(dump_stats)
      151    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.072    0.072 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/factory.py:297(atoms)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       12    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
       10    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/cell.py:23(__init__)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:416(_broadcast_shape)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1952(cell)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1433(find_common_type)
